CPV Code,Name,Description
09000000,"Oljeprodukter,","brensel, elektrisitet og andre energikilderBrenselFast brenselKull og kullbasert brenselKullKullbasert brenselSteinkullBriketterFossilt brenselTrebrenselBrunkull og torvBrunkullTorvKoksGassholdig brennstoffKullgass, gassforsyning eller andre gasserKullgass eller tilsvarende gasserLedningsgassPropan og butanPropangassFlytende propangassButangassFlytende butangassNaturgassPetroleum og destillaterFlyparafinFlybrennstoff av petroleumstypenBensinBlyfri bensinBlyholdig bensinEtanolholdig bensinFlytende petroleumsgass (LPG)GassoljerDieseloljeDieseldrivstoffDiesel brennstoff (0.2).Diesel brennstoff (EN 590).BiodieselBrenselsoljerFyringsoljeLavsulfat lettantennelig oljerPetroleum-, kull- og oljeprodukterSmørepreparaterSmøreoljer og smøremidlerMotoroljerKompressoroljerTurbinoljerGearoljerGearoljer (Reductor oils)Oljer til anvendelse i hydrauliske systemer og til andre formålVesker til hydrauliske formålFormoljerKorrosionsbeskyttende oljerElektroisolerende oljerBremsevæskerHvite oljer og flytende parafinHvite oljerFlytende parafinOljer og produkter av petroleumLettoljeOlje av petroleumSmøringsolje til traksjonVaseline, voks og spesialspritVaselin og vokserVaselinParafinvoksPetroleumsvoksRestprodukter av petroleumSpesialspritWhite spiritRåoljeOlje- og kullrelaterte produkterBituminøs skifer eller oljeskiferKullrelaterte produkterKull oljeElektrisitet, oppvarming, solenergi og kjernefysisk energiElektrisitetDamp, varmt vann og tilhørende produkterVarmt vannDampFjernvarmeFjernvarmeSolenergiSolcellepanelSolfangere til varmeproduksjonSolcellsmodulerSolenergianleggAtombrennstoffUranPlutoniumRadioaktive materialerRadioisotoper"
09100000,Brensel,"brenselKull og kullbasert brenselKullKullbasert brenselSteinkullBriketterFossilt brenselTrebrenselBrunkull og torvBrunkullTorvKoksGassholdig brennstoffKullgass, gassforsyning eller andre gasserKullgass eller tilsvarende gasserLedningsgassPropan og butanPropangassFlytende propangassButangassFlytende butangassNaturgassPetroleum og destillaterFlyparafinFlybrennstoff av petroleumstypenBensinBlyfri bensinBlyholdig bensinEtanolholdig bensinFlytende petroleumsgass (LPG)GassoljerDieseloljeDieseldrivstoffDiesel brennstoff (0.2).Diesel brennstoff (EN 590).BiodieselBrenselsoljerFyringsoljeLavsulfat lettantennelig oljer"
09110000,Fast,"brenselKull og kullbasert brenselKullKullbasert brenselSteinkullBriketterFossilt brenselTrebrenselBrunkull og torvBrunkullTorvKoksGassholdig brennstoffKullgass, gassforsyning eller andre gasserKullgass eller tilsvarende gasserLedningsgassPropan og butanPropangassFlytende propangassButangassFlytende butangassNaturgassPetroleum og destillaterFlyparafinFlybrennstoff av petroleumstypenBensinBlyfri bensinBlyholdig bensinEtanolholdig bensinFlytende petroleumsgass (LPG)GassoljerDieseloljeDieseldrivstoffDiesel brennstoff (0.2).Diesel brennstoff (EN 590).BiodieselBrenselsoljerFyringsoljeLavsulfat lettantennelig oljer | brenselKull og kullbasert brenselKullKullbasert brenselSteinkullBriketterFossilt brenselTrebrenselBrunkull og torvBrunkullTorvKoks"
09111000,Kull,og kullbasert brenselKullKullbasert brenselSteinkullBriketterFossilt brenselTrebrensel
09111200,Kullbasert,brenselSteinkullBriketter
09111300,Fossilt,brensel
09112000,Brunkull,og torvBrunkullTorv
09120000,Gassholdig,"brennstoffKullgass, gassforsyning eller andre gasserKullgass eller tilsvarende gasserLedningsgassPropan og butanPropangassFlytende propangassButangassFlytende butangassNaturgass"
09121000,"Kullgass,",gassforsyning eller andre gasserKullgass eller tilsvarende gasserLedningsgass
09121100,Kullgass,eller tilsvarende gasser
09122000,Propan,og butanPropangassFlytende propangassButangassFlytende butangass
09122100,Propangass,propangass
09122110,Flytende,propangass | propangass
09122200,Butangass,butangass
09122210,Flytende,butangass | butangass
